external_id,sensor_id,label,location,parameter,parameter_unit,instrument,data_owner,measurement_type,gap_tolerance
203b262d5abf46a499aa59f6f19d0170,30074,Beech_Pure_10_Dendrometer,Ecosense_BeechPlot,StemRadialVar_Volt,mV,Dendrometer (self-build),StefanieDumberger_A3,Selected Value,PT60M
146125a298324064a0cdfece80eefbc4,30074,Beech_Pure_10_Dendrometer_in_mm,Ecosense_BeechPlot,StemRadialVar,mm,Dendrometer (self-build),StefanieDumberger_A3,Selected Value,PT60M
d0a4d91f27f048c8ad9ab421be36f64f,30074,Beech_Pure_10_Dendrometer_in_µm,Ecosense_BeechPlot,StemRadialGrowth,um,Dendrometer (self-build),StefanieDumberger_A3,Selected Value,PT60M
e5ab5812e7f845d3b31f72f0360c90d8,30074,Beech_Pure_10_Dendrometer_in_µm,Ecosense_BeechPlot,TreeWaterDeficit,um,Dendrometer (self-build),StefanieDumberger_A3,Selected Value,PT60M
e7479b560ce747599e3ec56750209f3a,60504,Beech_Pure_10_ImplexxDiagnostic,Ecosense_BeechPlot,Diagnosticcode,None,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
f9a5cb51d4a44f65a7ae1410898285dd,60504,Beech_Pure_10_PulseEnergyPerUnitLength,Ecosense_BeechPlot,PulseEnergy,J/m,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
5c8f6cf93cc8474f8e09cd2593ebf783,60504,Beech_Pure_10_TimeToMaxTempAtInnerThermistor,Ecosense_BeechPlot,Duration,s,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
25b7445f3a1e4facaad198799c855863,60504,Beech_Pure_10_TimeToMaxTempAtInnerThermistorUpstream,Ecosense_BeechPlot,Duration,s,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
7ae6a7f062004232b8c9639b55ec92db,60504,Beech_Pure_10_TimeToMaxTempAtOuterThermistor,Ecosense_BeechPlot,Duration,s,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
8da93f2acbcf426baf10f001e234d237,60504,Beech_Pure_10_TimeToMaxTempAtOuterThermistorUpstream,Ecosense_BeechPlot,Duration,s,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
d824a3a320ca4f95b88601619497de74,60504,Beech_Pure_10_deltaTmaxDownstreamInner,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
327f57cfb03a49d285035829d574ff95,60504,Beech_Pure_10_deltaTmaxDownstreamOuter,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
564e61b7ddee4a14a3db0a26e80e1a14,60504,Beech_Pure_10_deltaTmaxUpstreamInner,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
6f6f46ab45044551b16438281c588497,60504,Beech_Pure_10_deltaTmaxUpstreamOuter,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
6b5edc02aa464bce951bce4c378f66d4,60504,Beech_Pure_10_postPulseDownstreamInner,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
6196361c4e7d4154bedfb85bd8ce02ef,60504,Beech_Pure_10_postPulseDownstreamOuter,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
ac15c65b9de54c2b91f48e4ae99b2dca,60504,Beech_Pure_10_postPulseUpstreamInner,Ecosense_BeechPlot,Temperature,degC,Implexx Sap Flow Sensor,LeaDedden_A2_StefanieDumberger_A3,Selected Value,PT60M
